Date,OLS_Base (Flat),LECM_Base (Flat),2R-ECM_Base (Flat),v2.0_Base (Flat),OLS_+200 bps,LECM_+200 bps,2R-ECM_+200 bps,v2.0_+200 bps,OLS_-100 bps,LECM_-100 bps,2R-ECM_-100 bps,v2.0_-100 bps
2025-01-31,2.290400762899948,2.510800813466043,2.4761305058744063,2.6416001491341383,3.1695107486275282,2.9017247395979067,2.9928443850693225,3.7390582572999107,1.850845770036158,2.315338850400112,2.217773566276948,2.092871095051252
2025-02-28,2.290400762899948,2.4751935711502573,2.4127364810551253,2.728200149134138,3.1695107486275282,2.965020092269856,3.2581888015288785,3.8656582572999105,1.850845770036158,2.2302803105904583,2.004733132371927,2.159471095051252
2025-03-31,2.290400762899948,2.4468000716199674,2.3674744663454486,2.8148001491341383,3.1695107486275282,3.015492312230675,3.4091905865182164,3.992258257299911,1.850845770036158,2.162453951314614,1.8785733081038198,2.2183121487384603
2025-04-30,2.290400762899948,2.424158868225815,2.3376244224727762,2.901400149134138,3.1695107486275282,3.055739263708714,3.4891252443805527,4.118858257299911,1.850845770036158,2.1083686704843663,1.8086323112820688,2.2183121487384603
2025-05-31,2.290400762899948,2.406104591732405,2.319198848039928,2.9880001491341384,3.1695107486275282,3.0878325043970185,3.527594186601117,4.245458257299911,1.850845770036158,2.0652406354000985,1.7727968782160133,2.2183121487384603
2025-06-30,2.290400762899948,2.3917079673999413,2.3085226274842787,3.0277562280677817,3.1695107486275282,3.1134239109521076,3.5434568190963462,4.372058257299911,1.850845770036158,2.0308499956238584,1.7563702892581075,2.2183121487384603
2025-07-31,2.290400762899948,2.380227984125855,2.3027488090456947,3.0277562280677817,3.1695107486275282,3.133830703018654,3.5479879182091456,4.498658257299911,1.850845770036158,2.0034266246794554,1.7502180776185106,2.2183121487384603
2025-08-31,2.290400762899948,2.371073753736157,2.2998858762585637,3.0277562280677817,3.1695107486275282,3.15010324206612,3.5475036500323225,4.625258257299912,1.850845770036158,1.9815590095711753,1.7490105056068308,2.2183121487384603
2025-09-30,2.290400762899948,2.3637740972796157,2.2986414649170666,3.0277562280677817,3.1695107486275282,3.1630790947228147,3.545283391884854,4.7518582572999115,1.850845770036158,1.9641215985580163,1.7498418857577474,2.2183121487384603
2025-10-31,2.290400762899948,2.3579532928957225,2.2982294714429075,3.0277562280677817,3.1695107486275282,3.173426143310445,3.542861131370724,4.85743561894047,1.850845770036158,1.9502168676883609,1.751255715276391,2.2183121487384603
2025-11-30,2.290400762899948,2.353311736970828,2.2982012869466324,3.0277562280677817,3.1695107486275282,3.18167696252883,3.540835871732234,4.85743561894047,1.850845770036158,1.939129124191827,1.752607333757328,2.2183121487384603
2025-12-31,2.290400762899948,2.349610523189527,2.2983186305128624,3.0277562280677817,3.1695107486275282,3.188256231698963,3.5393490398627114,4.85743561894047,1.850845770036158,1.9302876689348092,1.753673595338864,2.2183121487384603
2026-01-31,2.290400762899948,2.346659145747015,2.298466273901533,3.0277562280677817,3.1695107486275282,3.193502593504663,3.5383476109647254,4.85743561894047,1.850845770036158,1.9232374218681914,1.75442852719494,2.2183121487384603
2026-02-28,2.290400762899948,2.3443056937923683,2.2985962825028015,3.0277562280677817,3.1695107486275282,3.1976860843278154,3.5377179094085283,4.85743561894047,1.850845770036158,1.9176154985246447,1.7549231517311934,2.2183121487384603
2026-03-31,2.290400762899948,2.3424290323992674,2.298694592002185,3.0277562280677817,3.1695107486275282,3.2010220333369723,3.537346218475963,4.85743561894047,1.850845770036158,1.9131325319304149,1.755226671702254,2.2183121487384603
2026-04-30,2.290400762899948,2.3409325676095776,2.2987622303599666,3.0277562280677817,3.1695107486275282,3.2036821457316513,3.537140904706754,4.85743561894047,1.850845770036158,1.9095577785485407,1.7554014758547012,2.2183121487384603
2026-05-31,2.290400762899948,2.339739274629281,2.2988055329135224,3.0277562280677817,3.1695107486275282,3.205803340609901,3.5370361996460273,4.85743561894047,1.850845770036158,1.9067072416389708,1.7554953426884556,2.2183121487384603
2026-06-30,2.290400762899948,2.3387877332721865,2.2988315405220607,3.0277562280677817,3.1695107486275282,3.207494798354511,3.5369885535216623,4.85743561894047,1.850845770036158,1.9044342007310242,1.7555414347947926,2.2183121487384603
2026-07-31,2.290400762899948,2.3380289665910685,2.2988461832577225,3.0277562280677817,3.1695107486275282,3.2088435802750865,3.536970987014896,4.85743561894047,1.850845770036158,1.9026216597490595,1.7555611370588353,2.2183121487384603
2026-08-31,2.290400762899948,2.3374239199768754,2.298853833494612,3.0277562280677817,3.1695107486275282,3.2099191097555413,3.53696781014416,4.85743561894047,1.850845770036158,1.9011763250875422,1.7555673810419858,2.2183121487384603
2026-09-30,2.290400762899948,2.3369414509722963,2.2988574455350608,3.0277562280677817,3.1695107486275282,3.2107767455569123,3.5369705013722124,4.85743561894047,1.850845770036158,1.9000238036799884,1.7555675007524256,2.2183121487384603
2026-10-31,2.290400762899948,2.336556726333039,2.298858882128856,3.0277562280677817,3.1695107486275282,3.2114606311975757,3.5369748108777523,4.85743561894047,1.850845770036158,1.8991047739007707,1.7555653624662848,2.2183121487384603
2026-11-30,2.290400762899948,2.336249943831682,2.2988592457377277,3.0277562280677817,3.1695107486275282,3.2120059670717986,3.536978873435047,4.85743561894047,1.850845770036158,1.8983719322116244,1.7555628157693282,2.2183121487384603
2026-12-31,2.290400762899948,2.336005313013858,2.2988591471576783,3.0277562280677817,3.1695107486275282,3.2124408222552265,3.5369820564161056,4.85743561894047,1.850845770036158,1.8977875583931743,1.7555606149366447,2.2183121487384603
2027-01-31,2.290400762899948,2.3358102424450853,2.298858899082697,3.0277562280677817,3.1695107486275282,3.2127875792530562,3.536984299901955,4.85743561894047,1.850845770036158,1.8973215740411,1.7555589679907144,2.2183121487384603
2027-02-28,2.290400762899948,2.3356546916149,2.29885864466506,3.0277562280677817,3.1695107486275282,3.2130640860537705,3.536985764597764,4.85743561894047,1.850845770036158,1.8969499943954649,1.7555578432032213,2.2183121487384603
2027-03-31,2.290400762899948,2.3355306541400336,2.2988584373732683,3.0277562280677817,3.1695107486275282,3.2132845747859946,3.5369866604845774,4.85743561894047,1.850845770036158,1.8966536938170533,1.7555571275269881,2.2183121487384603
2027-04-30,2.290400762899948,2.3354317456664955,2.298858287560026,3.0277562280677817,3.1695107486275282,3.2134603942628113,3.536987174719073,4.85743561894047,1.850845770036158,1.8964174213683378,1.7555567002099055,2.2183121487384603
2027-05-31,2.290400762899948,2.3353528752594013,2.2988581878333667,3.0277562280677817,3.1695107486275282,3.213600594118451,3.5369874497597324,4.85743561894047,1.850845770036158,1.8962290158298767,1.7555564611537706,2.2183121487384603
2027-06-30,2.290400762899948,2.335289983366597,2.298858125762793,3.0277562280677817,3.1695107486275282,3.2137123906035576,3.5369875840712095,4.85743561894047,1.850845770036158,1.896078779748117,1.755556337248748,2.2183121487384603
2027-07-31,2.290400762899948,2.3352398328687585,2.2988580894948427,3.0277562280677817,3.1695107486275282,3.213801538014054,3.5369876409305463,4.85743561894047,1.850845770036158,1.8959589802961108,1.7555562794402275,2.2183121487384603
2027-08-31,2.290400762899948,2.3351998424610714,2.2988580696900613,3.0277562280677817,3.1695107486275282,3.213872624871486,3.5369876584784525,4.85743561894047,1.850845770036158,1.8958634512558639,1.7555562569839425,2.2183121487384603
2027-09-30,2.290400762899948,2.3351679537904517,2.298858059741262,3.0277562280677817,3.1695107486275282,3.2139293100995983,3.536987658271669,4.85743561894047,1.850845770036158,1.8957872756358782,1.755556251791477,2.2183121487384603
2027-10-31,2.290400762899948,2.335142525509704,2.2988580553222104,3.0277562280677817,3.1695107486275282,3.213974511353419,3.5369876516264225,4.85743561894047,1.850845770036158,1.895726532587846,1.7555562539075782,2.2183121487384603
2027-11-30,2.290400762899948,2.3351222487954595,2.2988580537796937,3.0277562280677817,3.1695107486275282,3.214010555194381,3.5369876439231467,4.85743561894047,1.850845770036158,1.8956780955959984,1.7555562582793434,2.2183121487384603
2027-12-31,2.290400762899948,2.335106079981507,2.2988580535865712,3.0277562280677817,3.1695107486275282,3.2140392968411606,3.5369876373307547,4.85743561894047,1.850845770036158,1.8956394715516796,1.7555562626246424,2.2183121487384603
